Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Effectiveness of Genistein Supplementation on Metabolic Factors and Antioxidant Status in Postmenopausal Women With Type 2 Diabetes Mellitus.","/pubmed/31307913","Braxas H, Rafraf M, Karimi Hasanabad S, Asghari Jafarabadi M.","Can J Diabetes. 2019 May 4. pii: S1499-2671(18)30983-3. doi: 10.1016/j.jcjd.2019.04.007. [Epub ahead of print]","Can J Diabetes.  2019","PubMed","citation","PMID:31307913","pubmed","31307913","create date:2019/07/17 | first author:Braxas H",
"The Effects of Early Parental Death and Grief on Interpersonal Functioning and Alexithymia in Adults.","/pubmed/31307047","Calderon S, Samstag LW, Papouchis N, Saunders BA.","Psychopathology. 2019 Jul 15:1-7. doi: 10.1159/000501156. [Epub ahead of print]","Psychopathology.  2019","PubMed","citation","PMID:31307047","pubmed","31307047","create date:2019/07/16 | first author:Calderon S",
"Association of Asymmetrical White Matter Hyperintensities and Apolipoprotein E4 on Cognitive Impairment.","/pubmed/31306121","Low A, Ng KP, Chander RJ, Wong B, Kandiah N.","J Alzheimers Dis. 2019;70(3):953-964. doi: 10.3233/JAD-190159.","J Alzheimers Dis.  2019","PubMed","citation","PMID:31306121","pubmed","31306121","create date:2019/07/16 | first author:Low A",
"Randomization-based analysis of covariance for inference in the sequential parallel comparison design.","/pubmed/31304861","Wiener LE, Ivanova A, Li S, Silverman RK, Koch GG.","J Biopharm Stat. 2019;29(4):696-713. doi: 10.1080/10543406.2019.1633660. Epub 2019 Jul 15.","J Biopharm Stat.  2019","PubMed","citation","PMID:31304861","pubmed","31304861","create date:2019/07/16 | first author:Wiener LE",
"The effects of mindfulness and health education programs on the emotional state and cognitive function of elderly individuals with mild cognitive impairment: A randomized controlled trial.","/pubmed/31303397","Klainin-Yobas P, Kowitlawakul Y, Lopez V, Tang CT, Hoek KE, Gan GL, Lei F, Rawtaer I, Mahendran R.","J Clin Neurosci. 2019 Jul 11. pii: S0967-5868(19)30582-X. doi: 10.1016/j.jocn.2019.05.031. [Epub ahead of print]","J Clin Neurosci.  2019","PubMed","citation","PMID:31303397","pubmed","31303397","create date:2019/07/16 | first author:Klainin-Yobas P",
"Social attributes can drive or deter the sustainability of bottom-up management systems.","/pubmed/31302541","Rivera A, Gelcich S, García-Flórez L, Acuña JL.","Sci Total Environ. 2019 Jun 22;690:760-767. doi: 10.1016/j.scitotenv.2019.06.323. [Epub ahead of print]","Sci Total Environ.  2019","PubMed","citation","PMID:31302541","pubmed","31302541","create date:2019/07/16 | first author:Rivera A",
"Inverse association between habitual alcohol drinking and d-dimer in patients with type 2 diabetes mellitus.","/pubmed/31301345","Marumo M, Ekawa K, Ebara S, Wakabayashi I.","Alcohol. 2019 Jul 10. pii: S0741-8329(18)30347-1. doi: 10.1016/j.alcohol.2019.07.003. [Epub ahead of print]","Alcohol.  2019","PubMed","citation","PMID:31301345","pubmed","31301345","create date:2019/07/14 | first author:Marumo M",
"Anatomy Dissection Course Improves the Initially Lower Levels of Visual-Spatial Abilities of Medical Undergraduates.","/pubmed/31301207","Bogomolova K, Hierck BP, van der Hage JA, Hovius SER.","Anat Sci Educ. 2019 Jul 13. doi: 10.1002/ase.1913. [Epub ahead of print]","Anat Sci Educ.  2019","PubMed","citation","PMID:31301207","pubmed","31301207","create date:2019/07/14 | first author:Bogomolova K",
"Allocation to groups: Examples of Lord's paradox.","/pubmed/31301075","Wright DB.","Br J Educ Psychol. 2019 Jul 12. doi: 10.1111/bjep.12300. [Epub ahead of print]","Br J Educ Psychol.  2019","PubMed","citation","PMID:31301075","pubmed","31301075","create date:2019/07/14 | first author:Wright DB",
"Sexual dysfunction in Chinese rural patients with schizophrenia.","/pubmed/31299942","Huang YH, Hou CL, Ng CH, Chen X, Wang QW, Huang ZH, Jia FJ.","BMC Psychiatry. 2019 Jul 12;19(1):218. doi: 10.1186/s12888-019-2205-5.","BMC Psychiatry.  2019","PubMed","citation","PMID:31299942 | PMCID:PMC6624902","pubmed","31299942","create date:2019/07/14 | first author:Huang YH",
"Excessive daytime sleepiness with snoring or witnessed apnea is associated with handgrip strength: a population-based study.","/pubmed/31297519","Cao X, Gu Y, Fu J, Quynh Chi VT, Zhang Q, Liu L, Meng G, Yao Z, Wu H, Bao X, Zhang S, Wang X, Sun S, Zhou M, Jia Q, Song K, Wu Y, Niu K.","QJM. 2019 Jul 11. pii: hcz178. doi: 10.1093/qjmed/hcz178. [Epub ahead of print]","QJM.  2019","PubMed","citation","PMID:31297519","pubmed","31297519","create date:2019/07/13 | first author:Cao X",
"Effects of audiovisual technological aids on students' achievement and interest in secondary school biology in Nigeria.","/pubmed/31297460","Ibe E, Abamuche J.","Heliyon. 2019 Jun 25;5(6):e01812. doi: 10.1016/j.heliyon.2019.e01812. eCollection 2019 Jun.","Heliyon.  2019","PubMed","citation","PMID:31297460 | PMCID:PMC6597890","pubmed","31297460","create date:2019/07/13 | first author:Ibe E",
"In-vivo MRI Reveals Changes to Intracerebral Vasculature Caliber in HIV Infection.","/pubmed/31297086","De Alwis PM, Smith BR, Wu T, Artrip C, Steinbach S, Morse C, Lau CY, Rapoport SI, Snow J, Tramont E, Reich DS, Nair G, Nath A.","Front Neurol. 2019 Jun 26;10:687. doi: 10.3389/fneur.2019.00687. eCollection 2019.","Front Neurol.  2019","PubMed","citation","PMID:31297086 | PMCID:PMC6607694","pubmed","31297086","create date:2019/07/13 | first author:De Alwis PM",
"Efficacy of mindfulness-based intervention ('mindfulness-based joyful sleep') in young and middle-aged individuals with insomnia using a biomarker of inflammatory responses: a prospective protocol of a randomised controlled trial in China.","/pubmed/31296508","Pan C, Wang X, Deng Y, Li P, Liao Y, Ma X, Yang GP, Dai L, Tang Q.","BMJ Open. 2019 Jul 10;9(7):e027061. doi: 10.1136/bmjopen-2018-027061.","BMJ Open.  2019","PubMed","citation","PMID:31296508 | PMCID:PMC6624060","pubmed","31296508","create date:2019/07/13 | first author:Pan C",
"Buzz groups facilitate collaborative learning and improve histopathological competencies of students.","/pubmed/31296286","Romeike BFM, Fischer M.","Clin Neuropathol. 2019 Jul 12. doi: 10.5414/NP301195. [Epub ahead of print]","Clin Neuropathol.  2019","PubMed","citation","PMID:31296286","pubmed","31296286","create date:2019/07/13 | first author:Romeike BFM",
"Association Between Weight Status and Executive Function in Young Adults.","/pubmed/31295973","Narimani M, Esmaeilzadeh S, Azevedo LB, Moradi A, Heidari B, Kashfi-Moghadam M.","Medicina (Kaunas). 2019 Jul 10;55(7). pii: E363. doi: 10.3390/medicina55070363.","Medicina (Kaunas).  2019","PubMed","citation","PMID:31295973 | PMCID:PMC6681338","pubmed","31295973","create date:2019/07/13 | first author:Narimani M",
"Factors associated with quality of life in patients with depression: A nationwide population-based study.","/pubmed/31295291","Cho Y, Lee JK, Kim DH, Park JH, Choi M, Kim HJ, Nam MJ, Lee KU, Han K, Park YG.","PLoS One. 2019 Jul 11;14(7):e0219455. doi: 10.1371/journal.pone.0219455. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31295291 | PMCID:PMC6623963","pubmed","31295291","create date:2019/07/12 | first author:Cho Y",
"Effects of Neuromuscular Fatigue on Eccentric Strength and Electromechanical Delay of the Knee Flexors: The Role of Training Status.","/pubmed/31293448","El-Ashker S, Chaabene H, Prieske O, Abdelkafy A, Ahmed MA, Muaidi QI, Granacher U.","Front Physiol. 2019 Jun 26;10:782. doi: 10.3389/fphys.2019.00782. eCollection 2019.","Front Physiol.  2019","PubMed","citation","PMID:31293448 | PMCID:PMC6606703","pubmed","31293448","create date:2019/07/12 | first author:El-Ashker S",
"Olfactory Identification among Various Subtypes of Parkinson Disease.","/pubmed/31291631","Jalali MM, Roudbary SA, Gerami H, Soleimani R, Ebrahimi SM.","Eur Neurol. 2019 Jul 10:1-7. doi: 10.1159/000501551. [Epub ahead of print]","Eur Neurol.  2019","PubMed","citation","PMID:31291631","pubmed","31291631","create date:2019/07/11 | first author:Jalali MM",
"Extracurricular activity profiles and wellbeing in middle childhood: A population-level study.","/pubmed/31291278","Oberle E, Ji XR, Magee C, Guhn M, Schonert-Reichl KA, Gadermann AM.","PLoS One. 2019 Jul 10;14(7):e0218488. doi: 10.1371/journal.pone.0218488. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31291278 | PMCID:PMC6619656","pubmed","31291278","create date:2019/07/11 | first author:Oberle E",
"Associations of neighborhood walkability with intensity- and bout-specific physical activity and sedentary behavior of older adults in Japan.","/pubmed/31290251","Amagasa S, Inoue S, Fukushima N, Kikuchi H, Nakaya T, Hanibuchi T, Sallis JF, Owen N.","Geriatr Gerontol Int. 2019 Jul 9. doi: 10.1111/ggi.13730. [Epub ahead of print]","Geriatr Gerontol Int.  2019","PubMed","citation","PMID:31290251","pubmed","31290251","create date:2019/07/11 | first author:Amagasa S",
"Improving Human Papillomavirus-Related Knowledge and Attitudes Among Ethnically Diverse Young Adults.","/pubmed/31289786","Preston SM, Darrow WW.","Health Equity. 2019 May 28;3(1):254-263. doi: 10.1089/heq.2018.0091. eCollection 2019.","Health Equity.  2019","PubMed","citation","PMID:31289786 | PMCID:PMC6608686","pubmed","31289786","create date:2019/07/11 | first author:Preston SM",
"SyMRI detects delayed myelination in preterm neonates.","/pubmed/31286188","Schmidbauer V, Geisl G, Diogo M, Weber M, Goeral K, Klebermass-Schrehof K, Berger A, Prayer D, Kasprian G.","Eur Radiol. 2019 Jul 8. doi: 10.1007/s00330-019-06325-2. [Epub ahead of print]","Eur Radiol.  2019","PubMed","citation","PMID:31286188","pubmed","31286188","create date:2019/07/10 | first author:Schmidbauer V",
"Cumulative gadodiamide administration leads to brain gadolinium deposition in early MS.","/pubmed/31285398","Zivadinov R, Bergsland N, Hagemeier J, Ramasamy DP, Dwyer MG, Schweser F, Kolb C, Weinstock-Guttman B, Hojnacki D.","Neurology. 2019 Aug 6;93(6):e611-e623. doi: 10.1212/WNL.0000000000007892. Epub 2019 Jul 8.","Neurology.  2019","PubMed","citation","PMID:31285398","pubmed","31285398","create date:2019/07/10 | first author:Zivadinov R",
"Mild traumatic brain injuries with loss of consciousness are associated with increased inflammation and pain in military personnel.","/pubmed/31280036","Kanefsky R, Motamedi V, Mithani S, Mysliwiec V, Gill JM, Pattinson CL.","Psychiatry Res. 2019 Jul 2;279:34-39. doi: 10.1016/j.psychres.2019.07.001. [Epub ahead of print]","Psychiatry Res.  2019","PubMed","citation","PMID:31280036","pubmed","31280036","create date:2019/07/08 | first author:Kanefsky R",
"Transdiagnostic modulation of brain networks by electroconvulsive therapy in schizophrenia and major depression.","/pubmed/31279591","Sambataro F, Thomann PA, Nolte HM, Hasenkamp JH, Hirjak D, Kubera KM, Hofer S, Seidl U, Depping MS, Stieltjes B, Maier-Hein K, Wolf RC.","Eur Neuropsychopharmacol. 2019 Aug;29(8):925-935. doi: 10.1016/j.euroneuro.2019.06.002. Epub 2019 Jul 3.","Eur Neuropsychopharmacol.  2019","PubMed","citation","PMID:31279591","pubmed","31279591","create date:2019/07/08 | first author:Sambataro F",
"Improving family caregiver and patient outcomes in lung cancer surgery: Study protocol for a randomized trial of the multimedia self-management (MSM) intervention.","/pubmed/31279090","Sun V, Raz DJ, Erhunmwunsee L, Ruel N, Carranza J, Prieto R, Ferrell B, Krouse RS, McCorkle R, Kim JY.","Contemp Clin Trials. 2019 Aug;83:88-96. doi: 10.1016/j.cct.2019.07.002. Epub 2019 Jul 3.","Contemp Clin Trials.  2019","PubMed","citation","PMID:31279090 | PMCID:PMC6661176","pubmed","31279090","create date:2019/07/07 | first author:Sun V",
"The effectiveness of cognitive rehabilitation program on auditory perception and verbal intelligibility of deaf children.","/pubmed/31277886","Ashori M, Jalil-Abkenar SS.","Am J Otolaryngol. 2019 Jun 28. pii: S0196-0709(19)30579-4. doi: 10.1016/j.amjoto.2019.06.011. [Epub ahead of print]","Am J Otolaryngol.  2019","PubMed","citation","PMID:31277886","pubmed","31277886","create date:2019/07/07 | first author:Ashori M",
"Effects of Gelidium elegans on Weight and Fat Mass Reduction and Obesity Biomarkers in Overweight or Obese Adults: A Randomized Double-Blinded Study.","/pubmed/31277301","Kim CO, Kim YN, Lee DC.","Nutrients. 2019 Jul 3;11(7). pii: E1513. doi: 10.3390/nu11071513.","Nutrients.  2019","PubMed","citation","PMID:31277301 | PMCID:PMC6683047","pubmed","31277301","create date:2019/07/07 | first author:Kim CO",
"Trait dominance and cardiovascular functioning during social stress.","/pubmed/31276288","Lee EM, Hughes BM.","Stress Health. 2019 Jul 5. doi: 10.1002/smi.2884. [Epub ahead of print]","Stress Health.  2019","PubMed","citation","PMID:31276288","pubmed","31276288","create date:2019/07/06 | first author:Lee EM",
"Factors Affecting Length of Stay for Observation Patients.","/pubmed/31275771","Dada RS, Sule AA.","Cureus. 2019 Apr 26;11(4):e4547. doi: 10.7759/cureus.4547.","Cureus.  2019","PubMed","citation","PMID:31275771 | PMCID:PMC6592838","pubmed","31275771","create date:2019/07/06 | first author:Dada RS",
"Associations of IDUA and PTCH1 with Bone Mineral Density, Bone Turnover Markers, and Fractures in Chinese Elderly Patients with Osteoporosis.","/pubmed/31275456","Wang Q, Tang C, Jia J, Zhang G, Liu Z.","Dis Markers. 2019 Jun 2;2019:9503762. doi: 10.1155/2019/9503762. eCollection 2019.","Dis Markers.  2019","PubMed","citation","PMID:31275456 | PMCID:PMC6589188","pubmed","31275456","create date:2019/07/06 | first author:Wang Q",
"Efficacy and Safety of Honey Bee Venom (Apis mellifera) Dermal Injections to Treat Osteoarthritis Knee Pain and Physical Disability: A Randomized Controlled Trial.","/pubmed/31274334","Conrad VJ, Hazan LL, Latorre AJ, Jakubowska A, Kim CMH.","J Altern Complement Med. 2019 Jul 8. doi: 10.1089/acm.2019.0121. [Epub ahead of print]","J Altern Complement Med.  2019","PubMed","citation","PMID:31274334","pubmed","31274334","create date:2019/07/06 | first author:Conrad VJ",
"Effect of single-dose injection of vitamin D on immune cytokines in ulcerative colitis patients: a randomized placebo-controlled trial.","/pubmed/31274211","Sharifi A, Vahedi H, Nedjat S, Rafiei H, Hosseinzadeh-Attar MJ.","APMIS. 2019 Jul 5. doi: 10.1111/apm.12982. [Epub ahead of print]","APMIS.  2019","PubMed","citation","PMID:31274211","pubmed","31274211","create date:2019/07/06 | first author:Sharifi A",
"IQ differences between patients with first episode psychosis in London and Palermo reflect differences in patterns of cannabis use.","/pubmed/31272907","Ferraro L, Murray RM, Di Forti M, Quattrone D, Tripoli G, Sideli L, La Barbera D, La Cascia C.","Schizophr Res. 2019 Aug;210:81-88. doi: 10.1016/j.schres.2019.06.004. Epub 2019 Jul 2.","Schizophr Res.  2019","PubMed","citation","PMID:31272907","pubmed","31272907","create date:2019/07/06 | first author:Ferraro L",
"Platelet count in men with a habit of alcohol drinking.","/pubmed/31269404","Wakabayashi I.","Platelets. 2019 Jul 3:1-3. doi: 10.1080/09537104.2019.1636022. [Epub ahead of print]","Platelets.  2019","PubMed","citation","PMID:31269404","pubmed","31269404","create date:2019/07/04 | first author:Wakabayashi I",
"Health-Related Quality of Life of Adolescents with Cancer During the First Year of Treatment.","/pubmed/31268387","Bult MK, van Bindsbergen KLA, Schepers SA, de Ridder-Sluiter HG, Verhaak CM, van Litsenburg RRL, Merks JHM, van Noesel MM, Grootenhuis MA.","J Adolesc Young Adult Oncol. 2019 Jul 3. doi: 10.1089/jayao.2019.0017. [Epub ahead of print]","J Adolesc Young Adult Oncol.  2019","PubMed","citation","PMID:31268387","pubmed","31268387","create date:2019/07/04 | first author:Bult MK",
"Remineralization of Artificial Dentin Caries Using Dentin and Enamel Matrix Proteins.","/pubmed/31266157","Bächli K, Schmidlin PR, Wegehaupt F, Paqué F, Ramenzoni L, Botter S.","Materials (Basel). 2019 Jul 1;12(13). pii: E2116. doi: 10.3390/ma12132116.","Materials (Basel).  2019","PubMed","citation","PMID:31266157 | PMCID:PMC6651374","pubmed","31266157","create date:2019/07/04 | first author:Bächli K",
"Does sexual dimorphism vary by population? Laryngeal and ear anatomy in cricket frogs.","/pubmed/31263493","McClelland BE, Ryan MJ, Wilczynski W.","Curr Zool. 2019 Jun;65(3):343-352. doi: 10.1093/cz/zoy080. Epub 2018 Nov 8.","Curr Zool.  2019","PubMed","citation","PMID:31263493 | PMCID:PMC6595425","pubmed","31263493","create date:2019/07/03 | first author:McClelland BE",
"Effect of Sports and Growth on Hamstrings and Quadriceps Development in Young Female Athletes: Cross-Sectional Study.","/pubmed/31261679","Sugimoto D, Borg DR, Brilliant AN, Meehan WP 3rd, Micheli LJ, Geminiani ET.","Sports (Basel). 2019 Jun 28;7(7). pii: E158. doi: 10.3390/sports7070158.","Sports (Basel).  2019","PubMed","citation","PMID:31261679 | PMCID:PMC6680738","pubmed","31261679","create date:2019/07/03 | first author:Sugimoto D",
"SMART goals setting and biometric changes in obese adults with multimorbidity: Secondary analysis of a randomized controlled trial.","/pubmed/31258905","Takahashi PY, Quigg SM, Croghan IT, Schroeder DR, Ebbert JO.","SAGE Open Med. 2019 Jun 24;7:2050312119858042. doi: 10.1177/2050312119858042. eCollection 2019.","SAGE Open Med.  2019","PubMed","citation","PMID:31258905 | PMCID:PMC6591663","pubmed","31258905","create date:2019/07/02 | first author:Takahashi PY",
"The longitudinal effects of ovariectomy on the morphometric, densitometric and mechanical properties in the murine tibia: A comparison between two mouse strains.","/pubmed/31254730","Roberts BC, Giorgi M, Oliviero S, Wang N, Boudiffa M, Dall'Ara E.","Bone. 2019 Jun 26;127:260-270. doi: 10.1016/j.bone.2019.06.024. [Epub ahead of print]","Bone.  2019","PubMed","citation","PMID:31254730","pubmed","31254730","create date:2019/06/30 | first author:Roberts BC",
